animal;id;experience;test;path
fish;4;18;1;НОМЛЛКГ+Г-Г-ЩЦХШШХЦЩГ-ЗССЗГ-КЛЛКЩЦХША+КЛЛИИИИКДСР
fish;4;18;2;НОФХША+ШХХШККА-ШХЦЗССЗГ-ЩЦХША-ШХЦДДА-ШХЦЗСТ
fish;4;18;3;НОМКГ+ЗССЗГ-ЩЦХША+КЛЛККЛЛИООФХША-А-ККДСР
fish;4;19;1;НОФФИКА+ККА-А-КЛБЛКШХЦЩГ+Г-ЩЦХША-ЦСЖЛМИКА-ЛКДСР
fish;4;19;2;НОФХША+ШХЦЩГ+ЩЦФФЦЩГ-КЛЖССТ
fish;4;19;3;НОФХША+КИФФООФЦЩГ+ККЩЦХША-ШХЦЩФООФЦЩГ-ККГ-Г-Г-ЗСЖЛКГ-ЗСТ
fish;4;19;4;НОФЦЦХША+ККШХЦЩГ+КЛЛМИКДДА-А-КЛДССР
fish;4;20;1;НОФХША+ДСЕБЛКШХЦЦФФЦЩГ+ЗСТ
fish;4;20;2;НОФХША+ШХЦЦХХЦЩГ+ЩЦХШДСР
fish;4;20;3;ПОФХША+А-ШХЦЩГ+КЛЛКЩЦХХЦЩККЩЦХХЦЩГ-ЗСТ
fish;4;20;4;ПОФХША+ШХЦЩГ+КМИШХХШДССДШХЦЩГ+ЗССЗГ-ЩЦХША-ККШХЦЩЗЗЦХША-ДСЕЛЛЕР
fish;4;20;5;НОФЦЩГ+ЗСЖЛМИКА+КЛЕР
fish;4;20;6;ПОФХША+ШХЦЩГ+ККГ-ЩЦХША-ККА-ШХЦЩКЛЖТ
fish;4;21;1;НОФХША+А-ДСЕЛКШХФООФЦЩГ+ЩЦХХЦЩГ-КЛМИЛЕР
fish;4;21;2;ПОФЦЩГ+ЗСТ
fish;4;21;3;ПОФХША+ШХХША-ШХЦЩГ+ЗСТТЖЛКЗСТ
fish;4;21;4;ПОФЦЩГ+ЩЦХША+ШХХШККДССДШХФФХШДСР
fish;4;21;5;НОФФИКШХЦЦЦЩКЛЖТ
fish;4;21;6;НОФХША+ККШХЦГ+ЩЦЦЩГ-КЛЖССТ
fish;4;22;1;НОФИИИКА+ДССДШША-ШША-ШХЦЩГ+КЛЖТ
fish;4;22;2;ПОФХШШХЦЩКЛЛКЩЦХША+ШХЦЩГ+ККГ-ЩЦХШДСР
fish;4;22;3;ПОФЦЩККЩЦХША+ШХЦЩГ+КЛЖТ
fish;4;22;4;ПОФЦЦХША+ШХЦЗССЗЩЦХША+ШХЦЩГ+КЛЛКЩЦХШКЛБЕР
fish;4;22;5;ПОЦЩКМИКДДА+ККШХЦЦХША-КА-А-ДДА-ШХЦКЛЖТ
fish;4;23;1;ПОФХША+ШХЦЩГ+ЗСТ
fish;4;23;2;ПОФФМММКГ+ЩЦХША+ШХЩКММЛЖТ
fish;4;23;3;НОФЦЩГ+ЩЦХША+ШХЦЩЗСТТЖЛЛЖТ
fish;4;23;4;ПОФЦЦХША+А-ККА-А-А-ШХЦЩГ+ЗССЗЩЦХША-ШХГ-ЩЦХША-ШХЦЩГ-ЗССЗЩЦХХЦЩКЛЖТ
fish;4;24;1;НОФХША+ШХЦЦХША-ШХЦЦХШДДШХЦЩЗССЖЛКГ+КЩЦХША-ШХЦЩЗСЛЛЖТ
fish;4;24;2;НОФФИКА+ШХЦЩГ+ЩЦХША-ШХЦКЛЖТ
fish;4;24;3;ПОФХША+ШХХШККДССДККШХЦЦХШКЛЕСДЩХЦЗССЗГ+ЩЦХШКЛЕР
fish;4;24;4;ПОФХША+ШХЦЩГ+ЩЦХШККШХЦЗССЗЩЦХШКККЛЕР
fish;4;24;5;НОФХШШХЦЩЗССЗГ+ЗСЖЛКЩЦХХХША+ШХХША-ДСР
fish;4;24;6;ПОФХША+КИФЦЦХШДСР
fish;4;24;7;ПОФФООФФХША+ДСР
fish;4;24;8;НОФФООМКГ+КМИЛЕССР
fish;4;25;1;НОМЛЛМООИИКА+КИКДССДШХЦЩГ+ККГ-ЩЦШДСР
fish;4;25;2;ПОФЦЩГ+ЩЦХША+ДСР
fish;4;25;3;НОФХША+ККШХЦГ+КЛЖТ
fish;4;25;4;НОММФХША+КЛЛМШХХШДДШХЦЩГ+ЦХДДШШДДШХХШККШХЦЩКЛЖТ
fish;4;25;5;НОФФИККИММММФЦЩКММОФЦЩГ+ЩЦХШКЛЕР
fish;4;26;1;ПОФЦЩГ+ККГ-ЩЦХША+ШХЦЩКМООФХША-КЛЕР
fish;4;26;2;ПОФХШККА+ШХЦЩККЩЦХХЦЗССЗЩЦХШДСР
fish;4;26;3;НОФЦЦХША+КЛЕСДА-А-А-КЛБББЕССР
fish;4;26;4;НОМЛВЖЖЛКГ+ЩЦХША+ДСЕЛЛЕР
fish;4;26;5;НОМККМФЦЩГ+ЩЦХША+КИИКЛЖТ
fish;4;26;6;НОФХХЦЩГ+КЛЛМООЦЩЗССЗКГ-ЩЦХША+КЛЕР
fish;4;26;7;ПОМККММЛЖСЗККЩЦХХЦЩЗСЖЛЛЖТ
fish;5;4;1;НОФХХХША+ККА-ШХЦЩГ+ЗСССССЗЩЦХХФФЦЦЩГ-ККЩЦХХЦЩЗССЗЩЦЦЩЩКЛЖССССССССССЗЩЦХША-КЛБЛКЛЛКЩЦХША-КЛЛКЩЦХША-КЛЛККЛБЛККЛЛККЛЛККЛЕР
fish;5;4;2;НОМММЛКГ+ЩЦФФЦЩЩЦХХЦЩЗЗЩЦХХЦЩЗЗЩЦХША+ККШХЦЩЗЗЩУЦЩЗЗЩЦХХЦЩЗССССССССССЗЩЦЦЩЗЗЩЦЦЩЩЗСССТ
fish;5;5;1;ПОМЛКГ+КЛЛКЗССЗЦФФЦЦФООМММЛЛКЦЦЗЗЦЦКЛЖТ
fish;5;5;2;НОООФЦЦХША+КЛЛКШХЦЩГ+КЛЛКЗСТТССТ
